id,SalePrice
1461,132541.47666666665
1462,171082.28
1463,161566.99
1464,185069.32666666666
1465,207985.35333333333
1466,178073.61666666667
1467,178151.99666666667
1468,177321.65666666668
1469,198135.48333333334
1470,133944.92666666667
1471,191094.72555555557
1472,96383.88777777777
1473,119183.74
1474,165590.98666666666
1475,179867.88777777777
1476,432931.5266666667
1477,251371.06
1478,319955.64666666667
1479,289039.0
1480,382633.24
1481,301003.2233333333
1482,213088.14666666667
1483,182688.10333333333
1484,180734.04444444447
1485,185225.60666666666
1486,216478.64
1487,308836.1566666667
1488,240418.07666666666
1489,212779.75333333333
1490,185613.5
1491,197100.08555555556
1492,102770.01666666666
1493,168554.94
1494,296267.71
1495,283743.27
1496,198892.07888888888
1497,185198.38555555558
1498,170338.38888888888
1499,158695.50666666668
1500,175614.09333333332
1501,165595.58333333334
1502,195830.66
1503,283117.39
1504,240998.99666666667
1505,211714.8922222222
1506,175720.66666666666
1507,188485.79333333333
1508,181234.88
1509,168611.63333333333
1510,137001.51666666666
1511,137985.33333333334
1512,137924.33333333334
1513,157529.5
1514,125525.0
1515,135621.55666666667
1516,130130.33333333333
1517,169864.27333333335
1518,131466.04333333333
1519,210450.07
1520,133381.0
1521,138365.33333333334
1522,145721.33333333334
1523,114468.66666666667
1524,126627.66666666667
1525,133587.42666666667
1526,128284.49666666667
1527,112720.93333333333
1528,134662.16333333333
1529,138827.91666666666
1530,161691.0
1531,114776.66666666667
1532,108410.0
1533,132468.19333333333
1534,127002.31777777776
1535,139751.06
1536,135261.18333333332
1537,72769.75
1538,197357.45
1539,201314.71666666667
1540,102551.08
1541,130501.98
1542,131382.0
1543,163790.01
1544,94916.66666666667
1545,124868.33333333333
1546,133233.02555555553
1547,129739.25
1548,125954.74666666667
1549,128784.70333333334
1550,134102.78
1551,121638.79111111109
1552,119413.36666666667
1553,123951.17333333334
1554,128462.61666666667
1555,170105.86666666667
1556,99306.67666666667
1557,111045.0
1558,153948.94
1559,92464.94666666667
1560,147948.31333333332
1561,114916.83333333333
1562,138778.88
1563,130791.83333333333
1564,157602.26333333334
1565,153591.20333333334
1566,266753.5933333333
1567,92890.83333333333
1568,213915.04
1569,118414.66666666667
1570,187143.98333333334
1571,116155.66666666667
1572,131504.16666666666
1573,211316.56444444446
1574,105443.12333333334
1575,265456.4666666667
1576,200379.76
1577,203827.23608465612
1578,169456.66666666666
1579,129466.73
1580,201380.26333333334
1581,137970.4
1582,129146.0
1583,274193.41
1584,193252.23333333334
1585,136307.22685185188
1586,88874.58333333333
1587,123878.28333333334
1588,178125.76666666666
1589,101711.83333333333
1590,141681.0
1591,102279.91666666667
1592,117853.04666666666
1593,136226.33333333334
1594,122214.73666666666
1595,101218.29666666666
1596,216473.49333333335
1597,148380.95
1598,183491.9655555555
1599,238738.83
1600,204953.66666666666
1601,90919.5
1602,123549.59444444445
1603,106336.83333333333
1604,279494.1433333333
1605,237650.01
1606,164862.73333333334
1607,142868.85
1608,210065.62793650792
1609,192716.08333333334
1610,155524.83
1611,148431.82
1612,140472.47333333333
1613,144645.0
1614,171872.4
1615,98429.04
1616,97245.87333333334
1617,93223.41666666667
1618,132863.16666666666
1619,140874.54
1620,114685.21666666666
1621,140882.29666666666
1622,140912.94666666666
1623,278172.4633333333
1624,192009.81888888887
